PLAZAID,DATE,ETC,CASH
4,6/15/2011,"57,276","8,431"
5,6/15/2011,"20,732","3,894"
6,6/15/2011,"18,470","4,606"
7,6/15/2011,"75,871","12,380"
8,6/15/2011,"48,622","7,037"
9,6/15/2011,"97,265","22,562"
11,6/15/2011,"83,141","16,230"
1,6/14/2011,"57,505","22,393"
2,6/14/2011,"77,530","16,171"
3,6/14/2011,"79,356","26,374"
4,6/14/2011,"55,643","8,031"
5,6/14/2011,"19,242","3,291"
6,6/14/2011,"17,512","3,748"
7,6/14/2011,"73,093","12,008"
8,6/14/2011,"49,381","7,165"
9,6/14/2011,"93,209","21,887"
11,6/14/2011,"80,685","15,478"
1,6/13/2011,"57,168","23,226"
2,6/13/2011,"75,814","16,501"
3,6/13/2011,"78,570","27,322"
4,6/13/2011,"53,299","7,972"
5,6/13/2011,"18,883","3,544"
6,6/13/2011,"17,222","3,946"
7,6/13/2011,"71,804","12,259"
8,6/13/2011,"44,651","6,462"
9,6/13/2011,"93,907","23,409"
11,6/13/2011,"77,490","16,440"
1,6/12/2011,"45,125","28,367"
2,6/12/2011,"65,457","20,049"
3,6/12/2011,"71,516","34,047"
4,6/12/2011,"48,480","9,649"
5,6/12/2011,"15,043","3,494"
6,6/12/2011,"12,722","4,043"
7,6/12/2011,"57,945","13,900"
8,6/12/2011,"31,734","6,520"
9,6/12/2011,"84,803","28,580"
11,6/12/2011,"67,167","21,122"
1,6/11/2011,"46,995","27,835"
2,6/11/2011,"58,476","19,943"
3,6/11/2011,"70,772","33,268"
4,6/11/2011,"46,187","10,107"
5,6/11/2011,"15,092","3,557"
6,6/11/2011,"14,445","4,476"
7,6/11/2011,"55,599","14,224"
8,6/11/2011,"31,436","7,375"
9,6/11/2011,"88,648","30,120"
11,6/11/2011,"72,777","21,561"
1,6/10/2011,"62,007","26,195"
2,6/10/2011,"85,174","21,182"
3,6/10/2011,"86,476","30,167"
4,6/10/2011,"60,609","10,672"
5,6/10/2011,"21,237","4,307"
6,6/10/2011,"19,420","5,896"
7,6/10/2011,"79,521","15,398"
8,6/10/2011,"48,876","8,554"
9,6/10/2011,"102,733","26,578"
11,6/10/2011,"86,150","18,533"
1,6/9/2011,"56,432","22,639"
2,6/9/2011,"81,029","17,364"
3,6/9/2011,"78,948","26,399"
4,6/9/2011,"57,481","9,046"
5,6/9/2011,"21,026","6,367"
6,6/9/2011,"20,568","10,091"
7,6/9/2011,"77,360","13,306"
8,6/9/2011,"41,854","6,652"
9,6/9/2011,"95,175","22,703"
11,6/9/2011,"77,523","15,928"
1,6/8/2011,"56,410","22,774"
2,6/8/2011,"78,209","16,731"
3,6/8/2011,"80,570","27,188"
4,6/8/2011,"55,447","8,330"
5,6/8/2011,"19,760","4,549"
6,6/8/2011,"19,361","6,949"
7,6/8/2011,"74,367","12,205"
8,6/8/2011,"39,553","5,891"
9,6/8/2011,"92,879","21,632"
11,6/8/2011,"76,418","15,335"
1,6/7/2011,"56,915","22,743"
2,6/7/2011,"79,212","16,360"
3,6/7/2011,"80,854","27,411"
4,6/7/2011,"58,480","8,749"
5,6/7/2011,"20,417","3,770"
6,6/7/2011,"18,384","5,111"
7,6/7/2011,"73,605","11,601"
8,6/7/2011,"45,485","6,450"
9,6/7/2011,"92,487","20,562"
11,6/7/2011,"81,022","15,397"
1,6/6/2011,"55,116","22,729"
2,6/6/2011,"75,698","16,209"
3,6/6/2011,"79,046","27,408"
4,6/6/2011,"54,640","8,307"
5,6/6/2011,"19,413","3,701"
6,6/6/2011,"17,435","4,399"
7,6/6/2011,"72,245","12,113"
8,6/6/2011,"44,236","6,119"
9,6/6/2011,"91,806","22,257"
11,6/6/2011,"77,380","15,973"
1,6/5/2011,"45,088","28,761"
2,6/5/2011,"65,655","19,364"
3,6/5/2011,"70,992","34,949"
4,6/5/2011,"49,578","9,981"
5,6/5/2011,"15,797","3,540"
6,6/5/2011,"13,260","4,744"
7,6/5/2011,"59,925","14,210"
8,6/5/2011,"34,716","6,971"
9,6/5/2011,"84,857","29,746"
11,6/5/2011,"67,911","21,398"
1,6/4/2011,"48,757","29,262"
2,6/4/2011,"60,881","20,506"
3,6/4/2011,"74,165","35,741"
4,6/4/2011,"48,369","10,450"
5,6/4/2011,"17,140","4,517"
6,6/4/2011,"16,089","5,995"
7,6/4/2011,"55,892","14,375"
8,6/4/2011,"33,268","7,911"
9,6/4/2011,"88,453","30,160"
11,6/4/2011,"74,565","22,339"
1,6/3/2011,"59,882","25,656"
2,6/3/2011,"82,371","20,201"
3,6/3/2011,"83,067","30,010"
4,6/3/2011,"60,823","10,488"
5,6/3/2011,"21,153","4,213"
6,6/3/2011,"18,624","5,182"
7,6/3/2011,"75,683","14,829"
8,6/3/2011,"47,242","8,331"
9,6/3/2011,"99,109","25,751"
11,6/3/2011,"85,224","18,041"
1,6/2/2011,"58,980","22,925"
2,6/2/2011,"82,769","17,470"
3,6/2/2011,"81,363","27,288"
4,6/2/2011,"60,732","8,994"
5,6/2/2011,"20,938","3,983"
6,6/2/2011,"18,812","4,784"
7,6/2/2011,"77,263","12,928"
8,6/2/2011,"49,141","7,403"
9,6/2/2011,"98,105","23,035"
11,6/2/2011,"82,651","15,982"
1,6/1/2011,"56,593","22,453"
2,6/1/2011,"77,914","16,710"
3,6/1/2011,"79,725","26,334"
4,6/1/2011,"57,379","8,427"
5,6/1/2011,"19,656","3,656"
6,6/1/2011,"18,082","4,620"
7,6/1/2011,"74,010","12,018"
8,6/1/2011,"47,957","6,610"
9,6/1/2011,"91,385","21,484"
11,6/1/2011,"79,959","15,594"
1,5/31/2011,"56,111","23,167"
2,5/31/2011,"78,393","17,414"
3,5/31/2011,"81,559","28,087"
4,5/31/2011,"56,879","8,544"
5,5/31/2011,"20,694","4,061"
6,5/31/2011,"18,139","5,432"
7,5/31/2011,"73,285","12,519"
8,5/31/2011,"44,545","6,326"
9,5/31/2011,"94,916","23,618"
11,5/31/2011,"79,078","16,180"
1,5/30/2011,"41,749","26,106"
2,5/30/2011,"54,381","16,702"
3,5/30/2011,"63,788","33,257"
4,5/30/2011,"38,498","7,903"
5,5/30/2011,"19,832","7,238"
6,5/30/2011,"15,148","10,452"
7,5/30/2011,"46,572","10,791"
8,5/30/2011,"23,318","5,241"
9,5/30/2011,"75,656","28,690"
11,5/30/2011,"53,312","19,318"
1,5/29/2011,"43,969","30,724"
2,5/29/2011,"49,866","19,798"
3,5/29/2011,"69,162","36,664"
4,5/29/2011,"39,862","9,225"
5,5/29/2011,"19,470","5,551"
6,5/29/2011,"14,118","7,114"
7,5/29/2011,"45,228","13,027"
8,5/29/2011,"28,598","6,767"
9,5/29/2011,"85,957","31,619"
11,5/29/2011,"66,527","23,756"
1,5/28/2011,"48,088","30,614"
2,5/28/2011,"52,134","19,945"
3,5/28/2011,"70,366","35,760"
4,5/28/2011,"39,934","9,959"
5,5/28/2011,"17,314","4,818"
6,5/28/2011,"14,423","5,672"
7,5/28/2011,"49,684","14,048"
8,5/28/2011,"25,263","6,541"
9,5/28/2011,"85,901","31,299"
11,5/28/2011,"71,947","23,171"
1,5/27/2011,"60,637","27,765"
2,5/27/2011,"80,260","21,130"
3,5/27/2011,"85,079","30,721"
4,5/27/2011,"57,594","10,937"
5,5/27/2011,"21,871","4,537"
6,5/27/2011,"19,297","5,370"
7,5/27/2011,"72,476","15,127"
8,5/27/2011,"44,850","7,952"
9,5/27/2011,"101,686","27,649"
11,5/27/2011,"89,850","20,058"
1,5/26/2011,"58,830","23,900"
2,5/26/2011,"86,165","18,533"
3,5/26/2011,"83,272","27,759"
5,5/26/2011,"21,339","3,772"
6,5/26/2011,"18,585","4,372"
7,5/26/2011,"81,480","14,255"
8,5/26/2011,"50,896","7,845"
9,5/26/2011,"99,830","23,067"
11,5/26/2011,"84,904","16,329"
1,5/25/2011,"57,415","23,161"
2,5/25/2011,"83,097","17,239"
3,5/25/2011,"81,428","26,925"
4,5/25/2011,"60,578","9,065"
5,5/25/2011,"21,043","3,724"
6,5/25/2011,"18,466","4,602"
7,5/25/2011,"78,587","13,176"
8,5/25/2011,"49,055","7,338"
9,5/25/2011,"96,225","22,007"
11,5/25/2011,"82,329","15,615"
1,5/24/2011,"57,033","22,273"
2,5/24/2011,"77,505","16,244"
3,5/24/2011,"78,471","25,726"
4,5/24/2011,"58,075","8,493"
5,5/24/2011,"19,429","3,244"
6,5/24/2011,"17,407","3,961"
7,5/24/2011,"76,098","12,578"
8,5/24/2011,"47,172","6,634"
9,5/24/2011,"92,691","21,592"
11,5/24/2011,"79,057","14,656"
1,5/23/2011,"54,788","22,752"
2,5/23/2011,"73,974","15,959"
3,5/23/2011,"77,648","26,245"
4,5/23/2011,"54,466","8,299"
5,5/23/2011,"18,312","3,102"
6,5/23/2011,"16,466","3,560"
7,5/23/2011,"71,725","12,198"
8,5/23/2011,"43,079","6,080"
9,5/23/2011,"90,925","22,569"
11,5/23/2011,"75,961","15,043"
1,5/22/2011,"45,351","28,631"
2,5/22/2011,"64,797","18,876"
3,5/22/2011,"71,576","32,973"
4,5/22/2011,"52,235","10,220"
5,5/22/2011,"14,508","3,091"
6,5/22/2011,"11,836","3,718"
7,5/22/2011,"60,117","14,158"
8,5/22/2011,"34,706","7,112"
9,5/22/2011,"87,171","29,601"
11,5/22/2011,"67,928","20,874"
1,5/21/2011,"51,311","30,278"
2,5/21/2011,"65,322","21,993"
3,5/21/2011,"74,346","34,395"
4,5/21/2011,"51,430","11,293"
5,5/21/2011,"15,913","3,703"
6,5/21/2011,"15,040","4,720"
7,5/21/2011,"62,133","15,920"
8,5/21/2011,"35,969","8,439"
9,5/21/2011,"94,729","31,319"
11,5/21/2011,"74,501","21,711"
1,5/20/2011,"60,921","26,018"
2,5/20/2011,"83,642","19,812"
3,5/20/2011,"84,803","29,523"
4,5/20/2011,"62,618","11,128"
5,5/20/2011,"19,171","3,646"
6,5/20/2011,"17,791","4,252"
7,5/20/2011,"78,230","14,878"
8,5/20/2011,"47,599","7,842"
9,5/20/2011,"102,558","26,585"
11,5/20/2011,"84,124","17,721"
1,5/19/2011,"57,622","23,009"
2,5/19/2011,"85,091","17,436"
3,5/19/2011,"82,456","26,087"
4,5/19/2011,"60,628","9,307"
5,5/19/2011,"19,073","3,290"
6,5/19/2011,"17,426","3,890"
7,5/19/2011,"80,879","13,143"
8,5/19/2011,"48,266","6,961"
9,5/19/2011,"95,549","21,706"
11,5/19/2011,"81,901","15,608"
1,5/18/2011,"55,850","21,407"
2,5/18/2011,"77,592","16,191"
3,5/18/2011,"76,007","24,070"
4,5/18/2011,"56,492","8,362"
5,5/18/2011,"18,691","3,163"
6,5/18/2011,"17,196","3,663"
7,5/18/2011,"76,472","12,426"
8,5/18/2011,"47,748","6,694"
9,5/18/2011,"91,582","20,034"
11,5/18/2011,"77,812","14,247"
1,5/17/2011,"53,917","20,850"
2,5/17/2011,"74,532","15,149"
3,5/17/2011,"74,185","24,118"
4,5/17/2011,"54,329","8,034"
5,5/17/2011,"18,087","3,069"
6,5/17/2011,"16,580","3,551"
7,5/17/2011,"72,317","11,679"
8,5/17/2011,"46,485","6,454"
9,5/17/2011,"87,782","19,670"
11,5/17/2011,"76,428","14,051"
1,5/16/2011,"53,912","22,052"
2,5/16/2011,"75,879","16,052"
3,5/16/2011,"76,694","25,700"
4,5/16/2011,"54,928","8,032"
5,5/16/2011,"17,610","3,003"
6,5/16/2011,"16,163","3,504"
7,5/16/2011,"72,757","12,338"
8,5/16/2011,"44,363","6,298"
9,5/16/2011,"89,413","21,264"
11,5/16/2011,"74,355","14,955"
1,5/15/2011,"43,231","27,634"
2,5/15/2011,"59,609","18,164"
3,5/15/2011,"66,178","30,829"
4,5/15/2011,"48,161","9,403"
5,5/15/2011,"12,961","3,007"
6,5/15/2011,"11,250","3,459"
7,5/15/2011,"58,300","13,390"
8,5/15/2011,"30,727","6,025"
9,5/15/2011,"82,106","27,567"
11,5/15/2011,"64,113","19,866"
1,5/14/2011,"48,908","28,430"
2,5/14/2011,"62,297","20,700"
3,5/14/2011,"71,662","33,670"
4,5/14/2011,"50,539","11,030"
5,5/14/2011,"15,215","3,536"
6,5/14/2011,"14,227","4,392"
7,5/14/2011,"59,568","14,699"
8,5/14/2011,"33,133","7,566"
9,5/14/2011,"92,790","30,441"
11,5/14/2011,"73,834","21,777"
1,5/13/2011,"60,068","25,007"
2,5/13/2011,"81,145","19,731"
3,5/13/2011,"85,527","28,933"
4,5/13/2011,"62,315","10,574"
5,5/13/2011,"19,327","3,607"
6,5/13/2011,"17,867","4,410"
7,5/13/2011,"76,647","14,137"
8,5/13/2011,"48,139","7,813"
9,5/13/2011,"102,399","25,975"
11,5/13/2011,"84,936","17,935"
1,5/12/2011,"59,557","22,952"
2,5/12/2011,"84,036","17,803"
3,5/12/2011,"83,772","26,679"
4,5/12/2011,"62,462","9,163"
5,5/12/2011,"19,552","3,393"
6,5/12/2011,"17,924","4,045"
7,5/12/2011,"79,858","13,316"
8,5/12/2011,"50,260","7,358"
9,5/12/2011,"97,860","22,911"
11,5/12/2011,"83,051","15,484"
1,5/11/2011,"57,141","22,012"
2,5/11/2011,"78,253","15,822"
3,5/11/2011,"79,024","25,283"
4,5/11/2011,"57,511","8,561"
5,5/11/2011,"18,864","3,194"
6,5/11/2011,"17,762","3,834"
7,5/11/2011,"76,846","12,088"
8,5/11/2011,"46,819","6,514"
9,5/11/2011,"95,732","21,577"
11,5/11/2011,"80,142","15,074"
1,5/10/2011,"56,955","22,082"
2,5/10/2011,"76,455","15,528"
3,5/10/2011,"78,713","25,411"
4,5/10/2011,"56,745","8,462"
5,5/10/2011,"18,662","3,043"
6,5/10/2011,"17,260","3,968"
7,5/10/2011,"75,452","11,634"
8,5/10/2011,"46,368","6,304"
9,5/10/2011,"94,012","21,491"
11,5/10/2011,"78,813","14,643"
1,5/9/2011,"53,622","22,215"
2,5/9/2011,"72,519","15,312"
3,5/9/2011,"73,624","24,240"
4,5/9/2011,"54,837","7,906"
5,5/9/2011,"17,791","3,075"
6,5/9/2011,"16,638","3,877"
7,5/9/2011,"72,156","11,452"
8,5/9/2011,"42,549","5,745"
9,5/9/2011,"92,817","21,858"
11,5/9/2011,"76,452","15,183"
1,5/8/2011,"49,974","29,938"
2,5/8/2011,"70,607","19,695"
3,5/8/2011,"74,603","34,842"
4,5/8/2011,"57,694","10,895"
5,5/8/2011,"15,896","3,781"
6,5/8/2011,"13,629","4,761"
7,5/8/2011,"60,583","13,014"
8,5/8/2011,"36,981","6,990"
9,5/8/2011,"94,382","30,252"
11,5/8/2011,"73,355","23,063"
1,5/7/2011,"49,729","28,237"
2,5/7/2011,"62,817","20,951"
3,5/7/2011,"74,515","33,934"
4,5/7/2011,"52,206","10,764"
5,5/7/2011,"15,616","3,543"
6,5/7/2011,"15,078","4,729"
7,5/7/2011,"56,114","14,122"
8,5/7/2011,"32,330","6,972"
9,5/7/2011,"96,671","30,838"
11,5/7/2011,"77,963","22,236"
1,5/6/2011,"58,566","25,065"
2,5/6/2011,"83,899","20,014"
3,5/6/2011,"86,077","29,385"
4,5/6/2011,"63,754","10,792"
5,5/6/2011,"19,763","3,601"
6,5/6/2011,"18,207","4,439"
7,5/6/2011,"77,299","14,361"
8,5/6/2011,"47,349","7,808"
9,5/6/2011,"97,304","25,413"
11,5/6/2011,"85,154","17,799"
1,5/5/2011,"57,615","23,193"
2,5/5/2011,"80,527","17,032"
3,5/5/2011,"82,972","26,006"
4,5/5/2011,"58,999","8,582"
5,5/5/2011,"19,153","3,425"
6,5/5/2011,"17,721","3,900"
7,5/5/2011,"75,112","12,372"
8,5/5/2011,"41,669","5,941"
9,5/5/2011,"95,162","21,620"
11,5/5/2011,"81,579","15,572"
1,5/4/2011,"54,395","21,243"
2,5/4/2011,"75,661","15,114"
3,5/4/2011,"77,426","23,853"
4,5/4/2011,"54,968","7,741"
5,5/4/2011,"17,319","2,995"
6,5/4/2011,"16,344","3,467"
7,5/4/2011,"74,569","11,792"
8,5/4/2011,"46,597","6,276"
9,5/4/2011,"87,545","19,523"
11,5/4/2011,"77,385","13,990"
1,5/3/2011,"54,627","21,824"
2,5/3/2011,"74,046","15,154"
3,5/3/2011,"78,208","24,722"
4,5/3/2011,"55,593","8,133"
5,5/3/2011,"18,024","3,198"
6,5/3/2011,"17,071","3,686"
7,5/3/2011,"73,250","11,518"
8,5/3/2011,"46,007","6,266"
9,5/3/2011,"88,726","20,262"
11,5/3/2011,"78,103","14,538"
1,5/2/2011,"52,673","22,494"
2,5/2/2011,"71,895","15,371"
3,5/2/2011,"76,245","25,572"
4,5/2/2011,"53,410","7,853"
5,5/2/2011,"17,240","2,967"
6,5/2/2011,"16,575","3,626"
7,5/2/2011,"70,040","11,059"
8,5/2/2011,"42,012","5,663"
9,5/2/2011,"86,973","21,088"
11,5/2/2011,"75,190","14,993"
1,5/1/2011,"47,032","29,738"
2,5/1/2011,"62,143","20,880"
3,5/1/2011,"68,569","32,751"
4,5/1/2011,"54,049","10,794"
5,5/1/2011,"13,980","3,227"
6,5/1/2011,"12,679","4,151"
7,5/1/2011,"62,352","15,044"
8,5/1/2011,"31,102","6,754"
9,5/1/2011,"85,426","28,977"
11,5/1/2011,"58,729","18,819"
1,4/30/2011,"48,662","29,462"
2,4/30/2011,"61,856","21,036"
3,4/30/2011,"70,560","33,223"
4,4/30/2011,"52,145","11,547"
5,4/30/2011,"14,276","3,393"
6,4/30/2011,"14,721","4,548"
7,4/30/2011,"60,206","15,537"
8,4/30/2011,"34,470","7,942"
9,4/30/2011,"87,629","29,634"
11,4/30/2011,"73,987","22,832"
1,4/29/2011,"59,459","25,275"
2,4/29/2011,"81,141","19,669"
3,4/29/2011,"84,549","28,887"
4,4/29/2011,"60,743","10,716"
5,4/29/2011,"18,116","3,373"
6,4/29/2011,"17,648","4,303"
7,4/29/2011,"78,519","15,066"
8,4/29/2011,"47,340","8,037"
9,4/29/2011,"98,913","25,840"
11,4/29/2011,"84,302","17,941"
1,4/28/2011,"56,382","22,428"
2,4/28/2011,"75,477","15,661"
3,4/28/2011,"77,443","24,795"
4,4/28/2011,"57,494","8,411"
5,4/28/2011,"16,566","2,890"
6,4/28/2011,"15,881","3,541"
7,4/28/2011,"73,754","12,130"
8,4/28/2011,"47,365","6,611"
9,4/28/2011,"90,427","20,391"
11,4/28/2011,"77,628","14,510"
1,4/27/2011,"56,502","22,109"
2,4/27/2011,"76,508","16,061"
3,4/27/2011,"79,360","25,104"
4,4/27/2011,"57,187","8,257"
5,4/27/2011,"17,381","2,966"
6,4/27/2011,"16,784","3,672"
7,4/27/2011,"75,128","11,955"
8,4/27/2011,"45,574","6,128"
9,4/27/2011,"91,603","20,565"
11,4/27/2011,"80,111","14,900"
1,4/26/2011,"54,598","22,765"
2,4/26/2011,"72,375","15,666"
3,4/26/2011,"76,202","26,024"
4,4/26/2011,"53,603","8,148"
5,4/26/2011,"15,045","2,948"
6,4/26/2011,"15,398","3,991"
7,4/26/2011,"69,404","11,318"
8,4/26/2011,"38,139","5,728"
9,4/26/2011,"90,177","21,822"
11,4/26/2011,"72,055","14,916"
1,4/25/2011,"52,546","23,069"
2,4/25/2011,"67,269","15,289"
3,4/25/2011,"78,902","26,439"
4,4/25/2011,"51,539","8,189"
5,4/25/2011,"13,513","2,640"
6,4/25/2011,"14,253","3,376"
7,4/25/2011,"65,971","11,408"
8,4/25/2011,"31,768","4,659"
9,4/25/2011,"94,680","24,035"
11,4/25/2011,"69,420","16,168"
1,4/24/2011,"45,778","28,374"
2,4/24/2011,"59,594","18,606"
3,4/24/2011,"72,096","32,966"
4,4/24/2011,"50,919","10,207"
5,4/24/2011,"12,640","3,377"
6,4/24/2011,"11,608","4,058"
7,4/24/2011,"53,662","12,890"
8,4/24/2011,"29,751","6,370"
9,4/24/2011,"91,721","30,056"
11,4/24/2011,"70,352","22,965"
1,4/23/2011,"39,175","25,301"
2,4/23/2011,"44,433","16,423"
3,4/23/2011,"64,032","30,459"
4,4/23/2011,"40,627","9,165"
5,4/23/2011,"10,836","2,656"
6,4/23/2011,"11,631","3,594"
7,4/23/2011,"46,352","12,634"
8,4/23/2011,"24,677","5,732"
9,4/23/2011,"69,474","25,168"
11,4/23/2011,"60,775","19,144"
1,4/22/2011,"51,156","24,892"
2,4/22/2011,"64,485","18,155"
3,4/22/2011,"78,338","29,985"
4,4/22/2011,"52,580","10,129"
5,4/22/2011,"15,458","3,039"
6,4/22/2011,"15,045","3,807"
7,4/22/2011,"64,314","13,804"
8,4/22/2011,"37,792","6,669"
9,4/22/2011,"86,459","26,237"
11,4/22/2011,"76,173","18,556"
1,4/21/2011,"57,983","24,453"
2,4/21/2011,"80,069","18,484"
3,4/21/2011,"86,722","28,516"
4,4/21/2011,"61,794","10,147"
5,4/21/2011,"16,741","3,242"
6,4/21/2011,"15,660","3,904"
7,4/21/2011,"77,037","13,834"
8,4/21/2011,"48,510","7,615"
9,4/21/2011,"97,483","24,693"
11,4/21/2011,"84,235","17,766"
1,4/20/2011,"53,562","22,918"
2,4/20/2011,"69,672","16,301"
3,4/20/2011,"80,799","26,861"
4,4/20/2011,"55,496","8,679"
5,4/20/2011,"14,916","2,737"
6,4/20/2011,"15,162","3,569"
7,4/20/2011,"70,875","12,089"
8,4/20/2011,"37,125","5,596"
9,4/20/2011,"91,748","22,753"
11,4/20/2011,"74,690","15,999"
1,4/19/2011,"53,045","22,515"
2,4/19/2011,"68,058","15,224"
3,4/19/2011,"77,869","25,958"
4,4/19/2011,"51,759","8,008"
5,4/19/2011,"14,215","2,765"
6,4/19/2011,"14,738","3,495"
7,4/19/2011,"66,327","10,877"
8,4/19/2011,"34,614","5,057"
9,4/19/2011,"92,940","22,034"
11,4/19/2011,"72,441","15,371"
1,4/18/2011,"54,259","24,386"
2,4/18/2011,"72,381","16,702"
3,4/18/2011,"81,946","28,034"
4,4/18/2011,"56,305","8,755"
5,4/18/2011,"16,278","3,110"
6,4/18/2011,"14,994","3,478"
7,4/18/2011,"68,409","11,873"
8,4/18/2011,"39,462","5,629"
9,4/18/2011,"98,209","23,721"
11,4/18/2011,"76,812","16,874"
1,4/17/2011,"44,057","28,245"
2,4/17/2011,"57,470","18,015"
3,4/17/2011,"66,310","31,434"
4,4/17/2011,"44,797","9,040"
5,4/17/2011,"12,704","2,843"
6,4/17/2011,"11,633","3,746"
7,4/17/2011,"54,737","12,995"
8,4/17/2011,"29,875","6,255"
9,4/17/2011,"78,179","27,613"
11,4/17/2011,"65,906","21,535"
1,4/16/2011,"46,038","28,836"
2,4/16/2011,"55,525","18,514"
3,4/16/2011,"67,829","30,712"
4,4/16/2011,"46,464","9,954"
5,4/16/2011,"12,767","2,784"
6,4/16/2011,"12,788","3,900"
7,4/16/2011,"54,781","13,845"
8,4/16/2011,"30,929","7,072"
9,4/16/2011,"79,381","27,653"
11,4/16/2011,"70,687","20,719"
1,4/15/2011,"60,814","26,813"
2,4/15/2011,"79,980","19,226"
3,4/15/2011,"87,504","29,116"
4,4/15/2011,"62,194","10,657"
5,4/15/2011,"18,068","3,476"
6,4/15/2011,"18,051","4,221"
7,4/15/2011,"75,305","13,990"
8,4/15/2011,"45,654","7,607"
9,4/15/2011,"99,345","26,146"
11,4/15/2011,"87,260","18,583"
1,4/14/2011,"59,730","24,182"
2,4/14/2011,"81,908","16,953"
3,4/14/2011,"85,026","26,633"
4,4/14/2011,"60,202","9,019"
5,4/14/2011,"18,916","3,331"
6,4/14/2011,"17,506","3,893"
7,4/14/2011,"79,149","12,819"
8,4/14/2011,"49,397","7,301"
9,4/14/2011,"95,785","22,258"
11,4/14/2011,"83,287","15,697"
1,4/13/2011,"55,418","21,991"
2,4/13/2011,"74,168","14,892"
3,4/13/2011,"78,908","24,478"
4,4/13/2011,"55,919","7,756"
5,4/13/2011,"17,625","2,977"
6,4/13/2011,"16,793","3,427"
7,4/13/2011,"75,142","11,773"
8,4/13/2011,"46,646","6,225"
9,4/13/2011,"88,267","19,704"
11,4/13/2011,"78,388","14,075"
1,4/12/2011,"54,814","21,841"
2,4/12/2011,"72,599","14,217"
3,4/12/2011,"77,109","24,113"
4,4/12/2011,"55,244","7,549"
5,4/12/2011,"17,577","2,864"
6,4/12/2011,"16,538","3,584"
7,4/12/2011,"72,947","11,022"
8,4/12/2011,"45,869","6,137"
9,4/12/2011,"87,807","19,315"
11,4/12/2011,"77,224","14,054"
1,4/11/2011,"54,858","23,510"
2,4/11/2011,"72,394","15,528"
3,4/11/2011,"77,901","26,195"
4,4/11/2011,"53,753","7,845"
5,4/11/2011,"17,890","3,131"
6,4/11/2011,"16,182","3,577"
7,4/11/2011,"70,970","11,719"
8,4/11/2011,"42,742","5,641"
9,4/11/2011,"87,014","20,903"
11,4/11/2011,"76,148","14,955"
1,4/10/2011,"43,590","28,814"
2,4/10/2011,"60,944","17,974"
3,4/10/2011,"66,154","32,230"
4,4/10/2011,"48,547","9,248"
5,4/10/2011,"13,555","3,155"
6,4/10/2011,"11,946","3,573"
7,4/10/2011,"56,186","13,301"
8,4/10/2011,"31,851","6,123"
9,4/10/2011,"77,625","27,710"
11,4/10/2011,"64,829","20,193"
1,4/9/2011,"47,658","30,174"
2,4/9/2011,"62,034","20,253"
3,4/9/2011,"71,135","32,822"
4,4/9/2011,"50,432","10,502"
5,4/9/2011,"14,638","3,376"
6,4/9/2011,"14,706","4,228"
7,4/9/2011,"60,847","15,399"
8,4/9/2011,"34,297","7,570"
9,4/9/2011,"83,528","28,645"
11,4/9/2011,"72,538","21,276"
1,4/8/2011,"59,165","26,225"
2,4/8/2011,"77,851","18,121"
3,4/8/2011,"83,969","28,830"
4,4/8/2011,"59,144","9,914"
5,4/8/2011,"17,572","3,227"
6,4/8/2011,"17,416","3,980"
7,4/8/2011,"74,894","13,545"
8,4/8/2011,"45,773","7,125"
9,4/8/2011,"95,702","24,421"
11,4/8/2011,"83,172","16,839"
1,4/7/2011,"57,049","22,941"
2,4/7/2011,"79,557","16,364"
3,4/7/2011,"81,619","25,018"
4,4/7/2011,"59,820","8,484"
5,4/7/2011,"18,003","3,029"
6,4/7/2011,"17,274","3,679"
7,4/7/2011,"79,743","13,218"
8,4/7/2011,"49,298","6,732"
9,4/7/2011,"91,137","20,831"
11,4/7/2011,"80,751","14,752"
1,4/6/2011,"56,978","22,565"
2,4/6/2011,"78,777","16,292"
3,4/6/2011,"78,924","24,570"
4,4/6/2011,"57,759","8,172"
5,4/6/2011,"18,580","3,090"
6,4/6/2011,"17,187","3,650"
7,4/6/2011,"76,884","12,485"
8,4/6/2011,"48,851","6,658"
9,4/6/2011,"90,815","20,293"
11,4/6/2011,"79,322","14,623"
1,4/5/2011,"53,885","21,754"
2,4/5/2011,"70,911","14,775"
3,4/5/2011,"76,029","23,708"
4,4/5/2011,"54,670","7,646"
5,4/5/2011,"17,318","2,733"
6,4/5/2011,"16,179","3,528"
7,4/5/2011,"71,699","11,076"
8,4/5/2011,"45,650","6,184"
9,4/5/2011,"86,508","19,658"
11,4/5/2011,"76,127","13,918"
1,4/4/2011,"53,594","22,600"
2,4/4/2011,"69,535","15,039"
3,4/4/2011,"75,545","25,329"
4,4/4/2011,"51,828","7,600"
5,4/4/2011,"17,094","3,003"
6,4/4/2011,"15,839","3,552"
7,4/4/2011,"67,976","10,905"
8,4/4/2011,"41,750","5,813"
9,4/4/2011,"85,580","20,661"
11,4/4/2011,"74,840","14,857"
1,4/3/2011,"44,138","28,852"
2,4/3/2011,"59,157","18,144"
3,4/3/2011,"66,389","31,173"
4,4/3/2011,"49,296","9,657"
5,4/3/2011,"13,484","3,012"
6,4/3/2011,"12,023","3,859"
7,4/3/2011,"57,143","13,049"
8,4/3/2011,"32,987","6,316"
9,4/3/2011,"78,941","27,541"
